hsa-miR-33a;TP53TG1
hsa-let-7b;KCNQ1OT1
hsa-miR-425;XIST
hsa-miR-425;SNHG7
hsa-let-7g;KCNQ1OT1
hsa-miR-15b;XIST
hsa-miR-15b;HCG18
hsa-miR-449a;HCG18
hsa-miR-146a;SNHG7
hsa-miR-206;MALAT1
hsa-miR-148a;HOTAIR
hsa-miR-196b;H19
hsa-miR-25;XIST
hsa-miR-93;XIST
hsa-miR-335;KCNQ1OT1
hsa-miR-29a;KCNQ1OT1
hsa-miR-320a;NEAT1
hsa-miR-491;H19
hsa-miR-31;XIST
hsa-miR-31;TUG1
hsa-miR-204;NEAT1
hsa-let-7f;XIST
hsa-let-7d;XIST
hsa-miR-23b;GAS5
hsa-miR-27b;NEAT1
hsa-miR-455;MALAT1
hsa-miR-221;GAS5
hsa-miR-362;KCNQ1OT1
hsa-miR-98;XIST
hsa-miR-98;KCNQ1OT1
hsa-miR-421;SNHG1
hsa-miR-374b;GAS5
hsa-miR-374b;DLEU2
hsa-miR-363;MALAT1
hsa-miR-20b;PVT1
hsa-miR-20b;HCP5
hsa-miR-18b;CASC2
hsa-miR-504;NEAT1
hsa-miR-224;SNHG7
hsa-miR-200b;MALAT1
hsa-miR-200a;MALAT1
hsa-miR-429;MALAT1
hsa-miR-34a;KCNQ1OT1
hsa-miR-30e;HCG18
hsa-miR-30e;XIST
hsa-miR-30e;MALAT1
hsa-miR-30c;MALAT1
hsa-miR-101;SNHG6
hsa-miR-197;XIST
hsa-miR-197;KCNQ1OT1
hsa-miR-320b;XIST
hsa-miR-92b;XIST
hsa-miR-9;HCG18
hsa-miR-9;NEAT1
hsa-miR-181b;XIST
hsa-miR-181b;MALAT1
hsa-miR-181b;NEAT1
hsa-miR-181a;MALAT1
hsa-miR-135b;XIST
hsa-miR-29b;GAS5
hsa-miR-205;SNHG5
hsa-miR-205;GAS5
hsa-miR-205;MALAT1
hsa-miR-194;MIR155HG
hsa-miR-194;TUG1
hsa-miR-194;NEAT1
hsa-miR-107;KCNQ1OT1
hsa-miR-146b;KCNQ1OT1
hsa-miR-146b;SNHG7
hsa-miR-146b;MALAT1
hsa-miR-378c;MALAT1
hsa-miR-192;XIST
hsa-miR-708;NEAT1
hsa-miR-34c;HCG18
hsa-miR-34c;SNHG7
hsa-miR-34c;NEAT1
hsa-miR-141;MALAT1
hsa-miR-196a;HCG18
hsa-miR-615;XIST
hsa-miR-148b;XIST
hsa-miR-148b;HOTAIR
hsa-miR-26a;MALAT1
hsa-let-7i;XIST
hsa-let-7i;KCNQ1OT1
hsa-miR-135a;MALAT1
hsa-miR-16;XIST
hsa-miR-15a;XIST
hsa-miR-15a;MEG8
hsa-miR-17;HOTAIR
hsa-miR-18a;KCNQ1OT1
hsa-miR-19a;XIST
hsa-miR-19a;KCNQ1OT1
hsa-miR-20a;HOTAIR
hsa-miR-19b;XIST
hsa-miR-19b;KCNQ1OT1
hsa-miR-4306;XIST
hsa-miR-4306;MALAT1
hsa-miR-342;NEAT1
hsa-miR-433;GAS5
hsa-miR-299;HCP5
hsa-miR-494;SNHG12
hsa-miR-494;MALAT1
hsa-miR-376b;TUG1
hsa-miR-485;GAS5
hsa-miR-154;SNHG10
hsa-miR-377;NEAT1
hsa-miR-203a;XIST
hsa-miR-203a;PVT1
hsa-miR-193b;NEAT1
hsa-miR-365a;TUG1
hsa-miR-138;H19
hsa-miR-328;SNHG1
hsa-miR-328;MALAT1
hsa-miR-140;H19
hsa-miR-140;KCNQ1OT1
hsa-miR-140;MALAT1
hsa-miR-22;MALAT1
hsa-miR-212;XIST
hsa-miR-33b;TP53TG1
hsa-miR-144;XIST
hsa-miR-193a;HCG18
hsa-miR-152;KCNQ1OT1
hsa-miR-142;MALAT1
hsa-miR-454;KCNQ1OT1
hsa-miR-301a;XIST
hsa-miR-301a;H19
hsa-miR-301a;KCNQ1OT1
hsa-miR-133a;HCG18
hsa-miR-24;KCNQ1OT1
hsa-miR-27a;XIST
hsa-miR-27a;KCNQ1OT1
hsa-miR-181c;NEAT1
hsa-miR-181d;SNHG7
hsa-miR-181d;MALAT1
hsa-miR-330;XIST
hsa-miR-519d;PVT1
hsa-miR-371a;XIST
hsa-miR-217;MALAT1
hsa-miR-216b;SNHG1
hsa-miR-216b;SNHG7
hsa-miR-216b;MALAT1
hsa-miR-128;KCNQ1OT1
hsa-miR-26b;SNHG6
hsa-miR-103a;NEAT1
hsa-miR-103a;HCG18
hsa-miR-155;XIST
hsa-miR-155;MIR17HG
hsa-miR-301b;H19
hsa-miR-301b;KCNQ1OT1
hsa-miR-130b;KCNQ1OT1
hsa-miR-130b;MIR17HG
hsa-miR-3619;NEAT1
hsa-let-7b;XIST
hsa-miR-425;TUG1
hsa-miR-425;KCNQ1OT1
hsa-miR-425;MALAT1
hsa-let-7g;XIST
hsa-miR-15b;MEG8
hsa-miR-28;XIST
hsa-miR-449b;HCG18
hsa-miR-143;MALAT1
hsa-miR-145;TUG1
hsa-miR-145;MALAT1
hsa-miR-146a;NEAT1
hsa-miR-146a;MALAT1
hsa-miR-339;H19
hsa-miR-339;NEAT1
hsa-miR-148a;HCG18
hsa-miR-196b;HCG18
hsa-miR-590;NEAT1
hsa-miR-590;MALAT1
hsa-miR-653;EMX2OS
hsa-miR-653;SNHG7
hsa-miR-182;XIST
hsa-miR-182;SNHG1
hsa-miR-183;KCNQ1OT1
hsa-miR-383;NEAT1
hsa-miR-320a;SNHG12
hsa-miR-486;KCNQ1OT1
hsa-miR-30d;XIST
hsa-miR-876;MALAT1
hsa-miR-873;MALAT1
hsa-miR-204;MALAT1
hsa-let-7d;KCNQ1OT1
hsa-miR-199b;SNHG12
hsa-miR-23c;GAS5
hsa-miR-23c;MALAT1
hsa-miR-222;GAS5
hsa-miR-362;SNHG7
hsa-miR-374a;GAS5
hsa-miR-374a;DLEU2
hsa-miR-361;GAS5
hsa-miR-361;HCG18
hsa-miR-448;HCG18
hsa-miR-20b;MALAT1
hsa-miR-18b;H19
hsa-miR-18b;SNHG1
hsa-miR-106a;XIST
hsa-miR-106a;PVT1
hsa-miR-106a;MALAT1
hsa-miR-505;XIST
hsa-miR-506;NEAT1
hsa-miR-200a;XIST
hsa-miR-429;XIST
hsa-miR-34a;XIST
hsa-miR-34a;NEAT1
hsa-miR-30c;XIST
hsa-miR-101;SNHG1
hsa-miR-101;NEAT1
hsa-miR-186;XIST
hsa-miR-186;TUG1
hsa-miR-186;HCP5
hsa-miR-137;XIST
hsa-miR-197;SNHG12
hsa-miR-197;TUG1
hsa-miR-92b;SNHG5
hsa-miR-9;TUG1
hsa-miR-214;XIST
hsa-miR-214;HCG18
hsa-miR-181b;SNHG7
hsa-miR-181a;XIST
hsa-miR-181a;SNHG7
hsa-miR-181a;NEAT1
hsa-miR-29c;MIAT
hsa-miR-29c;KCNQ1OT1
hsa-miR-29c;HCP5
hsa-miR-29b;XIST
hsa-miR-29b;MIAT
hsa-miR-29b;KCNQ1OT1
hsa-miR-215;XIST
hsa-miR-194;XIST
hsa-miR-194;MALAT1
hsa-miR-146b;XIST
hsa-miR-4295;H19
hsa-miR-202;MALAT1
hsa-miR-202;NEAT1
hsa-miR-129;HCG18
hsa-miR-130a;HOTAIR
hsa-miR-326;XIST
hsa-miR-326;KCNQ1OT1
hsa-miR-708;XIST
hsa-miR-125b;XIST
hsa-miR-125b;KCNQ1OT1
hsa-miR-3167;XIST
hsa-miR-3167;MALAT1
hsa-miR-196a;GAS5
hsa-miR-148b;HCG18
hsa-miR-135a;GAS5
hsa-miR-320d;XIST
hsa-miR-320d;MALAT1
hsa-miR-16;HCG18
hsa-miR-1297;MALAT1
hsa-miR-17;H19
hsa-miR-17;HCG18
hsa-miR-18a;XIST
hsa-miR-18a;H19
hsa-miR-19a;H19
hsa-miR-19a;HOTAIR
hsa-miR-20a;H19
hsa-miR-19b;H19
hsa-miR-19b;HOTAIR
hsa-miR-92a;MALAT1
hsa-miR-4306;HCG18
hsa-miR-370;TUG1
hsa-miR-299;TUG1
hsa-miR-376a;TUG1
hsa-miR-376a;SNHG1
hsa-miR-376b;SNHG1
hsa-miR-381;TUG1
hsa-miR-544a;XIST
hsa-miR-544a;PVT1
hsa-miR-382;TUG1
hsa-miR-485;HCG18
hsa-miR-485;MALAT1
hsa-miR-154;MALAT1
hsa-miR-377;SNHG1
hsa-miR-410;TUG1
hsa-miR-203a;MIR17HG
hsa-miR-211;NEAT1
hsa-miR-211;MALAT1
hsa-miR-190a;XIST
hsa-miR-422a;HCG18
hsa-miR-7;KCNQ1OT1
hsa-miR-193b;XIST
hsa-miR-193b;H19
hsa-miR-365a;PVT1
hsa-miR-138;KCNQ1OT1
hsa-miR-138;SNHG12
hsa-miR-328;KCNQ1OT1
hsa-miR-328;HCP5
hsa-miR-22;NEAT1
hsa-miR-22;HCP5
hsa-miR-132;SNHG5
hsa-miR-212;TUG1
hsa-miR-195;MEG8
hsa-miR-497;MEG8
hsa-miR-144;HCP5
hsa-miR-144;MIR17HG
hsa-miR-193a;XIST
hsa-miR-193a;H19
hsa-miR-152;H19
hsa-miR-10a;XIST
hsa-miR-454;MIR17HG
hsa-miR-301a;MIR17HG
hsa-miR-21;XIST
hsa-miR-338;KCNQ1OT1
hsa-miR-320c;NEAT1
hsa-miR-27a;HCP5
hsa-miR-23a;XIST
hsa-miR-181c;SNHG12
hsa-miR-330;HOTAIR
hsa-miR-150;MIAT
hsa-let-7e;XIST
hsa-miR-125a;XIST
hsa-miR-520a;XIST
hsa-miR-519d;HCP5
hsa-miR-371a;NEAT1
hsa-miR-373;MIR17HG
hsa-miR-216a;XIST
hsa-miR-26b;GAS5
hsa-miR-26b;SNHG5
hsa-miR-153;KCNQ1OT1
hsa-miR-153;MIR17HG
hsa-miR-149;KCNQ1OT1
hsa-miR-296;HCG18
hsa-miR-124;MALAT1
hsa-let-7c;TTTY15
hsa-miR-301b;XIST
hsa-miR-301b;MIR17HG
hsa-miR-130b;H19
hsa-miR-3619;XIST
hsa-miR-3619;KCNQ1OT1
hsa-miR-3619;HCP5
hsa-let-7b;TTTY15
hsa-miR-191;XIST
hsa-miR-15b;PVT1
hsa-miR-302b;XIST
hsa-miR-3139;NEAT1
hsa-miR-449a;NEAT1
hsa-miR-449b;SNHG7
hsa-miR-874;KCNQ1OT1
hsa-miR-146a;XIST
hsa-miR-1271;MALAT1
hsa-miR-340;XIST
hsa-miR-219a;XIST
hsa-miR-219a;TUG1
hsa-miR-133b;HCG18
hsa-miR-30a;HCG18
hsa-miR-30a;MALAT1
hsa-miR-339;KCNQ1OT1
hsa-miR-148a;KCNQ1OT1
hsa-miR-196b;TUG1
hsa-miR-590;XIST
hsa-miR-590;TUG1
hsa-miR-590;MIR17HG
hsa-miR-653;XIST
hsa-miR-653;HCP5
hsa-miR-93;HOTAIR
hsa-miR-93;PVT1
hsa-miR-93;HCG18
hsa-miR-93;MALAT1
hsa-miR-106b;XIST
hsa-miR-106b;H19
hsa-miR-106b;HOTAIR
hsa-miR-106b;PVT1
hsa-miR-106b;HCG18
hsa-miR-106b;MALAT1
hsa-miR-96;MALAT1
hsa-miR-335;XIST
hsa-miR-335;TUG1
hsa-miR-29a;XIST
hsa-miR-29a;MIAT
hsa-miR-29a;HCP5
hsa-miR-490;KCNQ1OT1
hsa-miR-490;HCG18
hsa-miR-383;SNHG1
hsa-miR-383;MALAT1
hsa-miR-320a;XIST
hsa-miR-486;XIST
hsa-miR-599;H19
hsa-miR-30b;HCG18
hsa-miR-30d;HCG18
hsa-miR-491;KCNQ1OT1
hsa-miR-491;MALAT1
hsa-miR-876;GAS5
hsa-miR-873;GAS5
hsa-miR-873;TDRG1
hsa-miR-204;KCNQ1OT1
hsa-let-7d;TTTY15
hsa-miR-32;XIST
hsa-miR-32;SNHG5
hsa-miR-32;MALAT1
hsa-miR-455;GAS5
hsa-miR-455;KCNQ1OT1
hsa-miR-126;XIST
hsa-miR-362;XIST
hsa-miR-362;NEAT1
hsa-miR-98;TTTY15
hsa-miR-223;MIR17HG
hsa-miR-421;XIST
hsa-miR-421;TUG1
hsa-miR-421;SNHG5
hsa-miR-421;MIR17HG
hsa-miR-374b;MALAT1
hsa-miR-374a;MALAT1
hsa-miR-448;XIST
hsa-miR-20b;XIST
hsa-miR-18b;XIST
hsa-miR-18b;GAS5
hsa-miR-106a;HOTAIR
hsa-miR-542;TUG1
hsa-miR-503;SNHG12
hsa-miR-424;SNHG1
hsa-miR-424;HCG18
hsa-miR-506;XIST
hsa-miR-224;MALAT1
hsa-miR-200b;XIST
hsa-miR-30c;HCG18
hsa-miR-761;XIST
hsa-miR-761;HOTAIR
hsa-miR-761;HCG18
hsa-miR-761;KCNQ1OT1
hsa-miR-761;HCP5
hsa-miR-761;NEAT1
hsa-miR-101;XIST
hsa-miR-101;MALAT1
hsa-miR-186;PVT1
hsa-miR-137;SNHG1
hsa-miR-137;GAS5
hsa-miR-320b;SNHG12
hsa-miR-320b;HCG18
hsa-miR-320b;MALAT1
hsa-miR-190b;XIST
hsa-miR-190b;PVT1
hsa-miR-214;HOTAIR
hsa-miR-214;KCNQ1OT1
hsa-miR-488;XIST
hsa-miR-488;PVT1
hsa-miR-181b;SNHG12
hsa-miR-181a;SNHG12
